;pollutant_id;pollutant_averaging;date;pollutant_value;pollutant_unit;station_id;X;Y;ID_estacion;method_id
5473;NO2;1;04/01/2018 5:00;30;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5474;NO2;1;04/01/2018 6:00;38;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5475;NO2;1;04/01/2018 7:00;40;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5476;NO2;1;04/01/2018 8:00;47;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5477;NO2;1;04/01/2018 9:00;55;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5478;NO2;1;04/01/2018 10:00;55;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5479;NO2;1;04/01/2018 11:00;55;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5480;NO2;1;04/01/2018 12:00;40;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5481;NO2;1;04/01/2018 13:00;43;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5482;NO2;1;04/01/2018 14:00;55;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5483;NO2;1;04/01/2018 15:00;41;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5484;NO2;1;04/01/2018 16:00;51;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5485;NO2;1;04/01/2018 17:00;58;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5486;NO2;1;04/01/2018 18:00;57;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5487;NO2;1;04/01/2018 19:00;68;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5488;NO2;1;04/01/2018 20:00;83;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5489;NO2;1;04/01/2018 21:00;51;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5490;NO2;1;04/01/2018 22:00;32;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5491;NO2;1;04/01/2018 23:00;26;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
